,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
32,Dallas Mavericks,82,242.4,39.7,85.8,0.46299999999999997,8.9,25.4,35.2,30.8,60.4,50.9,16.9,22.5,0.752,10.5,31.8,42.3,22.5,8.1,4.5,13.0,20.0,105.2,50.0,29.9,109.5,106.4,95.2,41.3,89.3,0.46299999999999997,9.3,0.35200000000000004,32.0,62.8,0.509,17.6,23.4,0.752,10.9,33.1,44.0,23.4,8.4,4.7,13.5,20.9,2015,60.97560975609756,0.4773735581188997,85.8,29.6037296037296
33,Toronto Raptors,82,242.1,37.9,83.3,0.455,8.9,25.1,35.2,29.0,58.2,49.9,19.3,24.6,0.787,10.7,30.8,41.5,20.7,7.5,4.4,12.9,20.9,104.0,49.0,26.1,111.0,107.7,92.8,40.5,88.9,0.455,9.5,0.35200000000000004,31.0,62.1,0.499,20.6,26.2,0.787,11.5,32.9,44.4,22.1,8.0,4.6,13.8,22.3,2015,59.756097560975604,0.4691572545612511,83.30000000000001,30.132052821128447
34,Oklahoma City Thunder,82,241.8,38.8,86.8,0.447,7.7,22.7,33.9,31.1,64.1,48.6,18.6,24.6,0.754,12.8,34.7,47.5,20.5,7.3,5.5,14.7,22.3,104.0,45.0,25.4,107.8,105.5,95.7,40.3,90.0,0.447,8.0,0.33899999999999997,32.3,66.4,0.486,19.3,25.5,0.754,13.3,36.0,49.3,21.3,7.6,5.7,15.2,23.1,2015,54.87804878048781,0.483982683982684,86.8,26.152073732718893
35,Houston Rockets,82,241.5,37.0,83.3,0.444,11.4,32.7,34.8,25.6,50.6,50.6,18.6,26.0,0.715,11.7,32.0,43.7,22.2,9.5,5.0,16.7,22.0,103.9,56.0,27.6,107.0,103.4,96.5,38.1,85.8,0.444,11.7,0.348,26.3,52.1,0.506,19.1,26.8,0.715,12.0,32.9,45.0,22.8,9.8,5.1,17.1,22.6,2015,68.29268292682927,0.49200710479573706,83.30000000000001,39.25570228091237
36,San Antonio Spurs,82,243.4,39.1,83.6,0.46799999999999997,8.3,22.5,36.7,30.9,61.1,50.5,16.7,21.4,0.78,9.8,33.8,43.6,24.4,8.0,5.4,14.0,19.1,103.2,55.0,29.8,108.5,102.0,93.8,41.1,87.9,0.46799999999999997,8.7,0.36700000000000005,32.5,64.2,0.505,17.5,22.5,0.78,10.3,35.6,45.9,25.7,8.4,5.7,14.7,20.1,2015,67.07317073170732,0.46920289855072467,83.6,26.91387559808613
37,Cleveland Cavaliers,82,241.2,37.7,82.2,0.45799999999999996,10.1,27.5,36.7,27.6,54.7,50.4,17.7,23.6,0.7509999999999999,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1,53.0,26.9,111.1,106.3,92.3,40.6,88.6,0.45799999999999996,10.9,0.36700000000000005,29.7,58.9,0.504,19.1,25.4,0.7509999999999999,12.0,34.3,46.3,23.8,7.9,4.5,15.4,19.8,2015,64.63414634146342,0.4763157894736842,82.2,33.454987834549875
38,Portland Trail Blazers,82,242.1,38.7,86.0,0.45,9.8,27.2,36.2,28.9,58.8,49.1,15.5,19.4,0.8009999999999999,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8,51.0,27.0,108.2,103.7,94.2,40.7,90.4,0.45,10.4,0.36200000000000004,30.4,61.8,0.491,16.3,20.4,0.8009999999999999,11.3,37.0,48.2,23.1,6.7,4.8,14.3,19.2,2015,62.19512195121951,0.4855595667870037,86.0,31.627906976744185
39,Atlanta Hawks,82,240.6,38.1,81.7,0.466,10.0,26.2,38.0,28.1,55.5,50.6,16.5,21.2,0.778,8.7,31.8,40.6,25.7,9.1,4.6,14.2,17.8,102.5,60.0,27.8,108.9,103.1,93.9,40.4,86.7,0.466,10.6,0.38,29.8,58.9,0.506,17.5,22.5,0.778,9.3,33.8,43.1,27.3,9.6,4.9,15.1,18.9,2015,73.17073170731707,0.46978021978021983,81.7,32.06854345165239
40,Phoenix Suns,82,242.4,38.8,85.8,0.452,8.5,25.0,34.1,30.2,60.9,49.7,16.4,21.5,0.76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4,39.0,25.7,105.3,106.2,96.3,39.8,88.3,0.452,8.8,0.341,31.1,62.6,0.49700000000000005,16.8,22.2,0.76,11.2,33.1,44.4,20.8,8.8,4.8,15.5,21.9,2015,47.5609756097561,0.4877828054298643,85.9,29.103608847497085
41,Denver Nuggets,82,242.4,37.8,87.3,0.433,8.0,24.8,32.5,29.7,62.5,47.6,17.8,24.3,0.7340000000000001,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23.0,101.5,30.0,26.4,104.5,108.2,96.1,38.9,89.9,0.433,8.3,0.325,30.6,64.4,0.47600000000000003,18.4,25.0,0.7340000000000001,12.7,33.3,46.0,22.5,8.1,4.6,14.6,23.6,2015,36.58536585365854,0.5013054830287207,87.3,28.4077892325315
