,Team,Year,PctWin,ph_3Ppct,ph_2Ppct,ph_FTpct,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,ph_shotmisspct,PC1,PC2,PC3,PC4,PC5,PC6
92,Denver Nuggets,2017,48.78048780487805,0.368,0.519,0.774,25.7,7.0,4.0,15.2,19.4,0.46472663139329806,1.7984428999608009,0.9314982761939515,-0.666732665997382,-0.39839867041392957,-1.3074220997630468,0.5646691368242555
93,Cleveland Cavaliers,2017,62.19512195121951,0.384,0.528,0.748,23.3,6.8,4.1,14.1,18.7,0.46947935368043087,1.6763758093716055,1.65712691295136,-1.050180776661779,0.20845253655349594,-1.0964221980872022,1.848318818069437
94,Washington Wizards,2017,59.756097560975604,0.37200000000000005,0.515,0.784,24.3,8.6,4.2,14.4,21.7,0.4626462646264626,1.6058871481170378,-0.2269297398426011,-0.6598883643018252,-1.5041395572129475,-0.3307177012466924,0.06961554456114866
95,Los Angeles Clippers,2017,62.19512195121951,0.375,0.525,0.745,23.4,7.7,4.4,13.4,20.6,0.4602473498233215,1.6298535467066637,0.718058617042648,-0.9951044026233872,-0.36100837261227053,-0.15978513647991555,1.5501656188843684
96,Boston Celtics,2017,64.63414634146342,0.359,0.515,0.807,26.0,7.7,4.3,13.7,21.2,0.4699551569506727,1.7823863535121012,0.99831116442308,-0.29450188517857173,-1.2435962321398861,-0.30071527457163344,-0.5029298383486565
97,Portland Trail Blazers,2017,50.0,0.375,0.499,0.78,21.6,7.2,5.1,14.0,21.6,0.471900089206066,0.5561051343387255,0.9848630381612034,0.9989388692775174,-0.6543857964506432,-0.17196442130731404,0.9811413432807765
98,Phoenix Suns,2017,29.268292682926827,0.332,0.491,0.7759999999999999,19.4,8.1,4.8,15.3,24.5,0.4749340369393139,-1.8982721585189393,-0.79319608766349,1.1109741212982729,-2.121968019746645,1.1663512057873366,0.8522608246202394
99,Toronto Raptors,2017,62.19512195121951,0.363,0.505,0.7959999999999999,19.4,8.7,5.1,13.3,21.9,0.4607329842931937,0.5808644389640338,0.4467856513906051,0.4953190918689179,-1.781492576475591,1.754212855850692,0.7400467837557748
100,Oklahoma City Thunder,2017,57.3170731707317,0.327,0.504,0.745,21.3,8.0,5.1,15.2,21.2,0.4817391304347826,-1.269626941516742,-0.26597529235970424,-0.11712436885478975,-0.019083432014330104,1.2929279977370511,0.7324398239122238
101,Brooklyn Nets,2017,24.390243902439025,0.33799999999999997,0.506,0.7879999999999999,21.1,7.1,4.6,16.3,20.7,0.4787037037037037,-0.7441755483758293,0.41599449711990305,0.6972842858289434,-0.9868706427906356,0.2832069258800522,0.7802504014685828
102,Minnesota Timberwolves,2017,37.80487804878049,0.349,0.507,0.799,24.8,8.4,4.7,14.7,21.1,0.4587719298245614,1.4149857913924881,-0.060472153685439,-0.06130618569390653,-1.2676521602669115,0.5266284394856368,-0.5650325664308526
